29/08 08:41:18:033 OSA Callback started
29/08 08:41:20:344 Starting process session
29/08 08:41:20:889 Total 0 instances are started
29/08 08:41:20:896 Total 1 instances are added
29/08 08:41:22:981 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.31:7676]. - cause: java.net.ConnectException: Connection refused: connect
29/08 08:41:22:982 Consumer was closed, reconnect.
29/08 09:08:36:362 Local queue size: 0
29/08 09:08:46:363 Local queue size: 0
29/08 09:08:56:366 Local queue size: 0
29/08 09:09:06:368 Local queue size: 0
29/08 09:09:16:372 Local queue size: 0
29/08 09:09:26:459 Local queue size: 0
29/08 09:09:36:461 Local queue size: 0
29/08 09:09:46:516 Local queue size: 0
29/08 09:09:56:520 Local queue size: 0
29/08 09:10:06:522 Local queue size: 0
29/08 09:10:16:526 Local queue size: 0
29/08 09:10:26:601 Local queue size: 0
29/08 09:10:36:654 Local queue size: 0
29/08 09:10:46:686 Local queue size: 0
29/08 09:10:56:693 Local queue size: 0
29/08 09:11:06:782 Local queue size: 0
29/08 09:11:16:785 Local queue size: 0
29/08 09:11:26:810 Local queue size: 0
29/08 09:11:36:832 Local queue size: 0
29/08 09:11:46:836 Local queue size: 0
29/08 09:11:56:844 Local queue size: 0
29/08 09:12:06:847 Local queue size: 0
29/08 09:12:16:853 Local queue size: 0
29/08 09:12:26:882 Local queue size: 0
29/08 09:12:36:887 Local queue size: 0
29/08 09:12:46:888 Local queue size: 0
29/08 09:12:56:895 Local queue size: 0
29/08 09:13:06:896 Local queue size: 0
29/08 09:13:16:900 Local queue size: 0
29/08 09:13:26:908 Local queue size: 0
29/08 09:13:36:941 Local queue size: 0
29/08 09:13:46:952 Local queue size: 0
29/08 09:13:56:960 Local queue size: 0
29/08 09:14:06:999 Local queue size: 0
29/08 09:14:17:040 Local queue size: 0
29/08 09:14:27:047 Local queue size: 0
29/08 09:14:37:080 Local queue size: 0
29/08 09:14:47:100 Local queue size: 0
29/08 09:14:57:108 Local queue size: 0
29/08 09:15:07:150 Local queue size: 0
29/08 09:15:17:173 Local queue size: 0
29/08 09:15:27:178 Local queue size: 0
29/08 09:15:37:222 Local queue size: 0
29/08 09:15:47:224 Local queue size: 0
29/08 09:15:57:225 Local queue size: 0
29/08 09:16:07:290 Local queue size: 0
29/08 09:16:17:295 Local queue size: 0
29/08 09:16:27:306 Local queue size: 0
29/08 09:16:37:329 Local queue size: 0
29/08 09:16:47:345 Local queue size: 0
29/08 09:16:57:347 Local queue size: 0
29/08 09:17:07:348 Local queue size: 0
29/08 09:17:17:350 Local queue size: 0
29/08 09:17:27:370 Local queue size: 0
29/08 09:17:37:378 Local queue size: 0
29/08 09:17:47:456 Local queue size: 0
29/08 09:17:57:473 Local queue size: 0
29/08 09:18:07:485 Local queue size: 0
29/08 09:18:17:500 Local queue size: 0
29/08 09:18:27:576 Local queue size: 0
29/08 09:18:37:577 Local queue size: 0
29/08 09:18:47:584 Local queue size: 0
29/08 09:18:57:588 Local queue size: 0
29/08 09:19:07:617 Local queue size: 0
29/08 09:19:17:707 Local queue size: 0
29/08 09:19:27:719 Local queue size: 0
29/08 09:19:37:721 Local queue size: 0
29/08 09:19:47:725 Local queue size: 0
29/08 09:19:57:740 Local queue size: 0
29/08 09:20:07:753 Local queue size: 0
29/08 09:20:17:754 Local queue size: 0
29/08 09:20:27:772 Local queue size: 0
29/08 09:20:37:775 Local queue size: 0
29/08 09:20:47:783 Local queue size: 0
29/08 09:20:57:787 Local queue size: 0
29/08 09:21:07:814 Local queue size: 0
29/08 09:21:17:818 Local queue size: 0
29/08 09:21:27:857 Local queue size: 0
29/08 09:21:37:881 Local queue size: 0
29/08 09:21:47:884 Local queue size: 0
29/08 09:21:57:896 Local queue size: 0
29/08 09:22:07:901 Local queue size: 0
29/08 09:22:17:911 Local queue size: 0
29/08 09:22:27:979 Local queue size: 0
29/08 09:22:37:991 Local queue size: 0
29/08 09:22:47:997 Local queue size: 0
29/08 09:22:58:001 Local queue size: 0
29/08 09:23:08:093 Local queue size: 0
29/08 09:23:18:094 Local queue size: 0
29/08 09:23:28:106 Local queue size: 0
29/08 09:23:38:126 Local queue size: 0
29/08 09:23:48:171 Local queue size: 0
29/08 09:23:58:190 Local queue size: 0
29/08 09:24:08:200 Local queue size: 0
29/08 09:24:18:202 Local queue size: 0
29/08 09:24:28:205 Local queue size: 0
29/08 09:24:38:264 Local queue size: 0
29/08 09:24:48:272 Local queue size: 0
29/08 09:24:58:282 Local queue size: 0
29/08 09:25:08:310 Local queue size: 0
29/08 09:25:18:331 Local queue size: 0
29/08 09:25:28:333 Local queue size: 0
29/08 09:25:38:346 Local queue size: 0
29/08 09:25:48:395 Local queue size: 0
29/08 09:25:58:405 Local queue size: 0
29/08 09:26:08:432 Local queue size: 0
29/08 09:26:18:436 Local queue size: 0
29/08 09:26:28:469 Local queue size: 0
29/08 09:26:38:486 Local queue size: 0
29/08 09:26:48:497 Local queue size: 0
29/08 09:26:58:511 Local queue size: 0
29/08 09:27:08:585 Local queue size: 0
29/08 09:27:18:590 Local queue size: 0
29/08 09:27:28:592 Local queue size: 0
29/08 09:27:38:596 Local queue size: 0
29/08 09:27:48:680 Local queue size: 0
29/08 09:27:58:691 Local queue size: 0
29/08 09:28:08:692 Local queue size: 0
29/08 09:28:18:697 Local queue size: 0
29/08 09:28:28:700 Local queue size: 0
29/08 09:28:38:702 Local queue size: 0
29/08 09:28:48:709 Local queue size: 0
29/08 09:28:58:772 Local queue size: 0
29/08 09:29:08:783 Local queue size: 0
29/08 09:29:18:788 Local queue size: 0
29/08 09:29:28:792 Local queue size: 0
29/08 09:29:38:820 Local queue size: 0
29/08 09:29:48:824 Local queue size: 0
29/08 09:29:58:844 Local queue size: 0
29/08 09:30:08:846 Local queue size: 0
29/08 09:30:18:929 Local queue size: 0
29/08 09:30:28:937 Local queue size: 0
29/08 09:30:38:938 Local queue size: 0
29/08 09:30:48:943 Local queue size: 0
29/08 09:30:59:024 Local queue size: 0
29/08 09:31:09:028 Local queue size: 0
29/08 09:31:19:042 Local queue size: 0
29/08 09:31:29:044 Local queue size: 0
29/08 09:31:39:121 Local queue size: 0
29/08 09:31:49:160 Local queue size: 0
29/08 09:31:59:161 Local queue size: 0
29/08 09:32:09:172 Local queue size: 0
29/08 09:32:19:260 Local queue size: 0
29/08 09:32:29:267 Local queue size: 0
29/08 09:32:39:269 Local queue size: 0
29/08 09:32:49:369 Local queue size: 0
29/08 09:32:59:443 Local queue size: 0
29/08 09:33:09:452 Local queue size: 0
29/08 09:33:19:462 Local queue size: 0
29/08 09:33:29:463 Local queue size: 0
29/08 09:33:39:510 Local queue size: 0
29/08 09:33:49:514 Local queue size: 0
29/08 09:33:59:525 Local queue size: 0
29/08 09:34:09:528 Local queue size: 0
29/08 09:34:19:537 Local queue size: 0
29/08 09:34:29:543 Local queue size: 0
29/08 09:34:39:544 Local queue size: 0
29/08 09:34:49:552 Local queue size: 0
29/08 09:34:59:568 Local queue size: 0
29/08 09:35:09:575 Local queue size: 0
29/08 09:35:19:665 Local queue size: 0
29/08 09:35:29:681 Local queue size: 0
29/08 09:35:39:687 Local queue size: 0
29/08 09:35:49:689 Local queue size: 0
29/08 09:35:59:691 Local queue size: 0
29/08 09:36:09:704 Local queue size: 0
