18/09 08:32:45:082 Command Routing started
18/09 08:32:45:105 Starting process session
18/09 08:32:47:038 Total 0 instances are started
18/09 08:32:47:039 Total 1 instances are added
18/09 08:33:13:888 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.89:7676]. - cause: java.net.ConnectException: Connection timed out: connect
18/09 08:33:13:889 Consumer was closed, reconnect.
18/09 08:33:13:993 Total 0 instances are started
18/09 08:33:13:994 Total 1 instances are added
18/09 08:34:26:996 Command Routing started
18/09 08:34:27:023 Starting process session
18/09 08:34:27:146 Total 0 instances are started
18/09 08:34:27:148 Total 1 instances are added
18/09 08:34:32:099 Close queue connection pool.
18/09 08:34:32:117 End of process session
18/09 08:34:32:180 Command Routing stopped
18/09 08:34:34:019 Command Routing started
18/09 08:34:34:043 Starting process session
18/09 08:34:34:159 Total 0 instances are started
18/09 08:34:34:160 Total 1 instances are added
18/09 08:35:08:179 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:181 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:182 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:184 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:185 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:186 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:187 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:188 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:190 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:191 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:192 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:194 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:195 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:196 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:199 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:200 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:201 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:202 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:204 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:205 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:206 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:207 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:208 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:209 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:210 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:211 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:213 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:214 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:215 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:216 84922000514: SMSC - SMSC.SEND_SMS
