11/09 09:35:50:065 Command Logs started
11/09 09:35:50:180 Starting process session
11/09 09:35:50:571 Total 0 instances are started
11/09 09:35:50:572 Total 1 instances are added
11/09 09:36:30:631 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.65:7676]. - cause: java.net.ConnectException: Connection timed out: connect
11/09 09:36:30:632 Consumer was closed, reconnect.
11/09 09:36:30:736 Total 0 instances are started
11/09 09:36:30:737 Total 1 instances are added
11/09 09:36:51:808 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.65:7676]. - cause: java.net.ConnectException: Connection timed out: connect
11/09 09:36:51:809 Consumer was closed, reconnect.
11/09 09:36:51:912 Total 0 instances are started
11/09 09:36:51:913 Total 1 instances are added
11/09 09:37:12:939 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.65:7676]. - cause: java.net.ConnectException: Connection timed out: connect
11/09 09:37:12:939 Consumer was closed, reconnect.
11/09 09:37:13:044 Total 0 instances are started
11/09 09:37:13:045 Total 1 instances are added
11/09 09:38:09:375 Command Logs started
11/09 09:38:09:784 Starting process session
11/09 09:38:09:892 Total 0 instances are started
11/09 09:38:09:893 Total 1 instances are added
11/09 09:57:38:579 0 records were writen to database.
11/09 09:57:48:589 0 records were writen to database.
11/09 09:57:58:595 0 records were writen to database.
11/09 09:58:08:598 0 records were writen to database.
11/09 09:58:18:605 0 records were writen to database.
11/09 09:58:28:611 0 records were writen to database.
11/09 09:58:38:622 0 records were writen to database.
11/09 09:58:48:632 0 records were writen to database.
11/09 09:58:58:646 1 records were writen to database.
11/09 09:59:08:648 0 records were writen to database.
11/09 09:59:18:656 0 records were writen to database.
11/09 09:59:28:662 0 records were writen to database.
11/09 09:59:38:665 0 records were writen to database.
11/09 09:59:48:672 0 records were writen to database.
11/09 09:59:58:682 0 records were writen to database.
11/09 10:00:08:691 0 records were writen to database.
11/09 10:00:18:695 0 records were writen to database.
11/09 10:00:28:703 0 records were writen to database.
11/09 10:00:38:714 0 records were writen to database.
11/09 10:00:48:721 0 records were writen to database.
11/09 10:00:58:731 0 records were writen to database.
11/09 10:01:08:736 0 records were writen to database.
11/09 10:01:18:738 0 records were writen to database.
11/09 10:01:28:742 0 records were writen to database.
11/09 10:01:38:750 0 records were writen to database.
11/09 10:01:48:752 0 records were writen to database.
11/09 10:01:58:756 0 records were writen to database.
11/09 10:02:08:766 0 records were writen to database.
