16/09 08:49:33:293 Command Logs started
16/09 08:49:33:436 Starting process session
16/09 08:49:33:679 Total 0 instances are started
16/09 08:49:33:680 Total 1 instances are added
16/09 08:50:04:137 0 records were writen to database.
16/09 08:50:14:141 0 records were writen to database.
16/09 08:50:24:147 0 records were writen to database.
16/09 08:50:34:157 0 records were writen to database.
16/09 08:50:44:166 0 records were writen to database.
16/09 08:50:54:168 0 records were writen to database.
16/09 08:51:04:175 0 records were writen to database.
16/09 08:51:14:178 0 records were writen to database.
16/09 08:51:24:185 0 records were writen to database.
16/09 08:51:34:187 0 records were writen to database.
16/09 08:51:44:197 0 records were writen to database.
16/09 08:51:54:205 0 records were writen to database.
16/09 08:52:04:207 0 records were writen to database.
16/09 08:52:14:217 0 records were writen to database.
16/09 08:52:24:226 0 records were writen to database.
16/09 08:52:34:231 0 records were writen to database.
16/09 08:52:44:237 0 records were writen to database.
16/09 08:52:54:247 0 records were writen to database.
16/09 08:53:04:257 0 records were writen to database.
16/09 08:53:14:263 0 records were writen to database.
16/09 08:53:24:272 0 records were writen to database.
16/09 08:53:34:277 0 records were writen to database.
16/09 08:53:44:282 0 records were writen to database.
16/09 08:53:54:288 0 records were writen to database.
16/09 08:54:04:291 0 records were writen to database.
16/09 08:54:14:300 0 records were writen to database.
16/09 08:54:24:303 0 records were writen to database.
16/09 08:54:34:307 0 records were writen to database.
16/09 08:54:44:314 0 records were writen to database.
16/09 08:54:54:316 0 records were writen to database.
16/09 08:55:04:321 0 records were writen to database.
16/09 08:55:14:325 0 records were writen to database.
16/09 08:55:24:332 0 records were writen to database.
16/09 08:55:34:339 0 records were writen to database.
16/09 08:55:44:348 0 records were writen to database.
16/09 08:55:54:354 0 records were writen to database.
16/09 08:56:04:419 0 records were writen to database.
16/09 08:56:14:428 0 records were writen to database.
16/09 08:56:24:434 0 records were writen to database.
16/09 08:56:34:437 0 records were writen to database.
16/09 08:56:44:445 0 records were writen to database.
16/09 08:56:54:453 0 records were writen to database.
16/09 08:57:04:460 0 records were writen to database.
16/09 08:57:14:462 0 records were writen to database.
16/09 08:57:24:466 0 records were writen to database.
16/09 08:57:34:477 0 records were writen to database.
16/09 08:57:44:482 0 records were writen to database.
16/09 08:57:54:485 0 records were writen to database.
16/09 08:58:04:487 0 records were writen to database.
16/09 08:58:14:493 0 records were writen to database.
16/09 08:58:24:503 0 records were writen to database.
16/09 08:58:34:509 0 records were writen to database.
16/09 08:58:44:515 0 records were writen to database.
16/09 08:58:54:519 0 records were writen to database.
16/09 08:59:04:524 0 records were writen to database.
16/09 08:59:14:527 0 records were writen to database.
16/09 08:59:24:533 0 records were writen to database.
16/09 08:59:34:534 0 records were writen to database.
16/09 08:59:44:538 0 records were writen to database.
16/09 08:59:54:543 0 records were writen to database.
16/09 09:00:04:553 0 records were writen to database.
16/09 09:00:14:557 0 records were writen to database.
16/09 09:00:24:566 0 records were writen to database.
16/09 09:00:34:568 0 records were writen to database.
16/09 09:00:44:574 0 records were writen to database.
16/09 09:00:54:580 0 records were writen to database.
16/09 09:01:04:581 0 records were writen to database.
16/09 09:01:14:584 0 records were writen to database.
16/09 09:01:24:591 0 records were writen to database.
16/09 09:01:34:599 0 records were writen to database.
16/09 09:01:44:606 0 records were writen to database.
16/09 09:01:54:615 0 records were writen to database.
16/09 09:02:04:623 0 records were writen to database.
16/09 09:02:18:374 0 records were writen to database.
16/09 09:02:28:379 0 records were writen to database.
16/09 09:02:38:385 0 records were writen to database.
16/09 09:02:48:394 0 records were writen to database.
16/09 09:02:58:397 0 records were writen to database.
16/09 09:03:08:402 0 records were writen to database.
16/09 09:03:18:410 0 records were writen to database.
16/09 09:03:28:414 0 records were writen to database.
16/09 09:03:38:419 0 records were writen to database.
16/09 09:03:48:421 0 records were writen to database.
16/09 09:03:58:430 0 records were writen to database.
16/09 09:04:08:437 0 records were writen to database.
16/09 09:04:18:438 0 records were writen to database.
16/09 09:04:28:440 0 records were writen to database.
16/09 09:04:38:441 0 records were writen to database.
16/09 09:04:48:450 0 records were writen to database.
16/09 09:04:58:457 0 records were writen to database.
16/09 09:05:08:459 0 records were writen to database.
16/09 09:05:18:465 0 records were writen to database.
16/09 09:05:28:474 0 records were writen to database.
16/09 09:05:38:482 0 records were writen to database.
16/09 09:05:48:485 0 records were writen to database.
16/09 09:05:58:488 0 records were writen to database.
16/09 09:06:08:498 0 records were writen to database.
16/09 09:06:18:505 0 records were writen to database.
16/09 09:06:28:516 0 records were writen to database.
16/09 09:06:38:524 0 records were writen to database.
